"""If you receive a love letter from me you are fucked forever.""",3
Fuck you.,3
"""For some reason retarded people amuse the hell out of me!""",2
You piece of shit.,3
"""Dont talk shit to me just tell me the truth""",2
??,0
You make out with Donald Trump,3
"""Though it may look like they rsquo;re initiating affection in actuality they&rsquo;re simply reminding you that you have something they need whether it be food water or a big hand that can reach the itch they&rsquo;ve trying to been scratch all day.""",0
When u get home early u bake or chill. Never hike!!!!,0
But it's not in kbm,0
"""I just wanna die cant believe my parents dont realize that""",3
You were born by mistake,3
??,0
Ur mom is a prostitute,3
"""On the other hand imagine how ticked off the fans of a singer get when the artist they love can't record a single folk song without somebody having to come along and tell them how so-and-so's version is sooooo much better.""",0
"""Somebody come get her she?? drinking all the liquor.""",3
Let me know!!!!,0
I wanna eat your marzipan in bed.,0
This version of the song is amazing. and i hadn't even heard of it until just a couple days ago.,0
And we where let out early??,0
My blood type is baller- and This is why Im hot.,1
You are not good looking. you are ugly,3
who the fcuk thought that a 5-day anime convention in the ballsack of los angeles was a god damn good idea,2
"""Good why?""",0
The only problem is that you were using me in a different,2
"""I even let your bitch keep the gold bottle came to the club with my dawgs OG purp on me Steve Urkle have a young nigga geeked.""",2
If come tonight i promise ill get u wet?,3
"""I ball like Jordan no shit I play full court. Blowing on the kush imma keep it short.""",0
If you press the biggest button at the top of the remote then it turns into a beacon,0
And why does she keep grabbing her crotch?,3
You are fucked and you are fucking us.,3
Hi,0
We wont,0
Do you want me to put you on the harassment form?,1
Nice,0
!,0
"""Now I can't wait for your CD to come on! You're on our """"Discover Great New Music"""" list! Also hate to mention it but since you mention Amazon and iTunes I thought I'd drop a quick plug for your album as available from BN and BN.com! Check it out!""",0
U have to be fucking kidding if u thought that I would ever invite u to my bday party,2
How many are we,0
????,0
If I do,0
"""You will be safe I?? just texting to say goodbye""",0
Dont u know that fat kids cant have friends?,2
I went to UO music school also.,0
"""I wanna spend the night with u but u cant tell ur parents cause they&rsquo;ll say Im too old and wont let us play together""",3
?,0
I dont wanna be ur friend anymore,1
"""Not only am I extensively trained in unarmed combat but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent you little shit.""",2
Why do people like you?,0
good nite!,0
Did u bring the cigarettes?,3
"""I wanna cum inside u babe why do u make me use condom?""",3
The countless interpretations over the years have only aided that perception.,0
I dont give a fuck for what u say,3
You are a degenerate.,0
Im gonna fuck ur small tight pussy,3
I wanna buy some green,3
And you know I'm rollin' weed that's fuckin' up the ozone.,3
"""Yo I just woke up????""",0
"""There was a chance that his cries could be heard by someone aboard the yacht but that chance was slender and grew more slender as the yacht""",0
Bitch!!,2
You think you killing them syllables. Quit playing.,0
"""Damn ain?? it crazy when you??e loveswept you??l do anything for the one you love cuz anytime that you needed me I?? be there it?? like you were my favorite drug.""",3
I hate u.,0
Women should be very afraid for their rights if Trump gets in and the GOP retains control of Congress. We will have lost our all the progress we've made for equal rights that we've suffered for since 1920.,0
"""Where there are pistol shots there are men.""",0
Make sure your volume is on because I tried to call you before and you didn't answer,0
I bought the bar and brought the hoe so a nigga can&rsquo;t tell me shit.,0
??,0
"""Rummage through the shit and try to salvage something to see if you can save any of it""",2
Amit I realized my shot looks really cool in slo-mo ??????,0
So face time me,0
"""You??e fucking dead kid. I can be anywhere anytime and I can kill you in over seven hundred""",3
Yes,0
Should we get u some borekas for lunch?,0
"""I don?? wanna do this shit anymore""",3
You still at the party??,0
"""I got robins on my jeans you see the wings on every pair.""",0
Did you bentch?,0
I wanna put my dick in her mouth and I wanna watch her swallow.,3
"""Since cats first got their adorable claws into us about 9500 years ago humans have had a love affair with felines.""",0
"Bah! They've no understanding.""",0
I started crying when I thought about you.,1
Is this dark ones?,0
You know it's stuff like this that really fucks up your emotions.,2
!,0
Don't tell no one cool?,0
"""Tell me what you see is it money or it's me?""",0
In the building,0
Hey don?? say anything but guess who?? still together after all the shit between them? ur buttcheeks!,2
"""Just pour me up the shots that cheap shit makes me sick.""",3
Hey,0
Isn't that boy a chayal,0
Im gonna beat the shit out of u,3
No,0
Fuck you,2
I wanna choke you every time you walk into the room.,3
"""The best sport in the world"""" agreed Rainsford.""",0
?,0
The fast one at 8 is on the factory,0
U better make me cum this time or ill kill u,3
"""Give up faggot it?? a dead man?? world and you??e bout to be dead by my knife cuz Imma stab you mofo.""",1
I dont even have to hurt you cuz you do it so fucking well on your own. Why you so stupid?,1
"""Nonsense"""" laughed Rainsford.""",0
Lol,0
How r u,0
Yea,0
Love you,0
Where was that pic taken? I don't recognize,0
"""All you see is Remy Boyz you know my niggas everywhere.""",3
"""(Those double standards man.)""",0
Nope. Home for over an bout,0
K,0
U down for it,1
U are very very ugly and ur face makes me wanna puke.,3
!!!!!!!,0
"""I am gonna eat u until u cum on my face""",3
Im gonna cut ur dick out,3
One sms,0
U will really tell?,0
You're a nerd,3
????,0
It's the best time for me today,0
Hour,0
8-Jul-16,0
"""Even more you told the world that you've fought it yourself.""",0
They come across as idiotic children who need to get their heads out of their asses.,2
The first thing Eli said was. Wow ur tall!,0
I'm on the bus ????????????,0
"""And she'll never fucking know that these fucking eyes that I'm staring at.""",0
"""I cant deal with u u lesbian""",3
Hey Tom,0
"""Black Panther Sex Cologne: 60% of the time it works.. EVERY TIME""",1
Let your bitch ride on me like she was on a feeder.,0
"""U know im gonna kill u the next time i see u so why dont u just kill yourself already?""",3
Which minyan,0
All I ever felt was this helplessness.,0
When is the Chanukah party,0
They dont fucking know how to run a business or manage other people.,2
"""Everyday I wake up celebrating shit cuz I just dodged a bullet from a crazy bitch.""",3
"""Kill yourself it&rsquo;s the only way to save your fucking soul.""",3
Nice,0
I'm at school ??????????,0
Stop being such a crying baby,3
"""Aside from how ridiculous Miley was who the fuck was that blonde moron who introduced her? That was even more uncomfortable than the actual performance.""",2
An opinion cannot be incorrect. An opinion is just that; an opinion.,0
That would be Julia,0
"""No one invited u to this conversationstupid little pussy""",3
Ur dad said that he might make u go to school for the morning and then he will pick u up,0
I don't care,0
The world is made up of two classes--the hunters and the huntees.,0
O,0
"""I need to call my GF like right now!!""",0
"""I bet you are some man hoe that likes this because you are a rapist. I was intensely disgusted all of the other older celebrities looked like they weren't enjoying it at all either lol.""",3
Don't voice massige,0
"""Today more than 80 million cats reside in U.S. homes with an estimated three cats for every dog on the planet.""",0
??,0
"""Some wounded thing--by the evidence a large animal--had thrashed about in the underbrush; the jungle weeds were crushed down and the moss was lacerated; one patch of weeds was stained crimson.""",3
"""It?? not even ben yehuda you are walking around a professional space dressing this way at""",0
"""stop talking to me i don't like you.""",1
I wish you were dead,3
"""Im gonna get her crazy drunk today then i wanna see her say no lol""",3
In 2009 the U.S. Gov. will start shipping retards away.,0
"""Why dont u invite ur friend to play with us tonight? If u do i promise it will be the last time ill get inside of u""",3
"""That is just amazing. Your music usually lifts me up makes me smile and even on occasion encourages me to sing.""",0
Cuz I only know 1 shul here and thats the one we always went to,0
And I told him and jo said I shouldn't say things like that to people,0
have this song played at my funeral when i die. to say that this version is soulless is a pretty dumb statement.,0
You're ugly.,1
Why dont u come here tomorrow? I wanna make love to u the entire night,3
Ugh you make me sick.,1
"""They have no idea. To them every twitch of the nose or spontaneous nap time is just another part of their everyday routine.""",0
"""Desperately he struck out with strong strokes after the receding lights of the yacht but he stopped before he had swum fifty feet.""",0
Idk tganks,0
I know,0
"""When I see you crying I get so happy cuz your mother?? cunt is less repulsive than you are. """,1
"""""""We should make it in a few days.""",0
U make me horny,3
Also you and your boyfriend are disgusting.,1
I'm on the bus ????????????,0
U suck,3
Amazing!!! Tysm. Pls make sure apartment door is closed,0
"""before racing all the way to the back of the throat where it finishes with a great blast the concussive force of the K catching up then with the hush of the F already on its way thus loading it with plenty of offense and edge and certainly ambiguity.""",0
Happy to hear that,0
U2,0
??,0
OMG You're so dumb and stupid you're a nerd,3
if you come to school tomorrow your ass is mine.,3
K,0
Yea,0
Hey ben,0
"""FUCK. A great by-the-bootstrap prayer or curse if you prefer depending on how you look at it or use it suited perfectly for hurling at the skies or at the world or sometimes if said just right for uttering with enough love and fire the woman beside you melts inside herself immersed in all that word-heat.""",0
I am also the opposite of what you are like.,0
?,0
TODAY,0
Sorry,0
"""The nights were always so cold lonely and bitter but as long as I could lie there next to my big clunky radio and hear that music everything was right and wonderful and the rest of the world with all its cruelty and pain disappeared.""",0
Yea,0
Infrared beacon,0
"""I was working at Barnes & Noble helping a customer and suddenly I stopped and said """"Is that... uhm... from the Hobbit?""""""",0
Fuck you,2
"""you're an idiot and everyone knows.""",1
And you need to make sure you daven no chance,0
She's such a bad rolemodel ..,0
"""First let me hop out the motherfucking porsche""",3
Mincha,0
Eliahu mani?,0
???? ?????,0
?,0
Fast!!!!,0
Smoke a hooka,0
Im gonna punch u until u cant walk,3
Love ya,0
Can i borrow ur dildo?,3
On guest,0
"""I dont wanna talk to u never again in my life i hate what u did to me and i hate that i was stupid enough to believe u. Just forget about me and leave me alone. I should have heard my mom when she told me that you werent good enough for me.""",3
He is only dating her so he can fuck her,3
It's 7:54 and I am no where ready to leave yet,0
Omg he was wasted on that party,1
"""I desire it desperately. I want it more than money fame property or virtually anything else of this earth.""",0
Didn't know when you would wake up so my dad told me to just go,0
"""After observing pet cats for several years he's come to an intriguing conclusion: They don't really understand us the way dogs do""",0
Im gonna punch u in face,3
Love you,0
why don't other cuckolds have deep rooted hate for you like my friends do? are you all fucking blind? You are too fucking dangerous and cruel.,2
Nvr mind,0
If yes wana get pizza and French fries for lunch there?,0
Cant tell my parents that im pregnant,3
Stop being such a dick,3
That shawty is fricken hot yo.,0
9-Aug-16,0
"""Sabr you watched the ORIGNAL!?!? Wow""",0
Miley rocks. Fuck all you homos that live in your mother's basements.,3
It's just me and marc,0
????? ??????,0
"""If only you could have known what unholy retribution your little &ldquo;clever&rdquo; comment was about to bring down upon you maybe you would have held your fucking tongue.""",2
I'm with him,0
K.thanx,0
I told you you,0
I meet to eat,0
It's 7:54 and I am no where ready to leave yet,0
Such a beautiful reminder for me of how music can help us survive and there really can be miracles if you believe you can get through the night and make it through to the other side.,0
You smell,1
Love you,0
but what it represents is so pure and sweet and kind and so incredibly rare that I can't help but weep with longing and smile with joy at the same time.,0
"""U dont know what a bj is? U r such a baby maybe thats why he doesnt like u""",3
I will shit fury all over you and you will drown in it.,3
"""Best to take bags into Maalon then elevator then drag into apartment""",0
Still playing x box,0
b,0
"""So you??e my retard""",1
Hookah,0
Let&rsquo;s fuck tonight,3
"""Ugh u r so gay just die already""",3
I would love to feel those small hands all over my body?,3
Cant stop thinking about u naked,3
Come eat my banana,3
Oh and can we talk about your clothes for a sec?,0
Ur so gay,3
"""I got a bitch that text me she ain't got no clothes on.""",3
Any quick minyanim at 8?,0
How's Dina,0
How was flight?,0
She?? a shameless moron who talks about swallowing cum in her song.,3
What do thing u r doing talking to my sister? I am gonna kill and kill everyone in your family! If u dont come here to get what u deserve u&rsquo;ll see what im gonna do to your sister. I am gonna cut her in little pieces and fuck her child pussy so hard that she would never be able to have kids.,3
Very unoriginal and trashy and desperate. And please please explain to me what's up with her sticking out her snail tongue!?,0
If you died nobody would even care,3
How's Dina,0
"""""""Ugh! It's like moist black velvet.""""""",0
How many are we,0
I'm coming,0
Fuck u and everyone around u,3
"""Hey dude just go fuck yourself""",3
Yo mamma is one bad bitch in the bedroom. She can do things with her legs that?? literally right out of the pornos.,3
Wear your helmet and run like hell champ!,0
"""And I emptied out my cards too now I'm fucking leaning on that.""",2
11-Nov-16,0
Can't,0
Tag! You??e mine! Today is National CLAIM A RETARD DAY.,0
Fuck you,2
This is Josh robinson's cousin and I think he also looks like the goat!!!,0
What's up??,0
I dont like u or ur family or ur dog and i hope u all suffer an accident and die.,3
U are a whore,3
My Brother and I made this really amazing world and it is on this medium sized island there are docks down at the Sea and then they're sliding doors which revealed a stairway to go up to another set of sliding doors which open up to the main part of the castle. It also has a TNT cannon and a 6 x 6 tower but it is not even close to being finished,0
Love you!!,0
"""Baby girl if you fuckin' with me then we getting bags big bags.""",3
"""Let?? take a closer look at their impossibly squee mannerisms shall we?""",0
"""I would never even like u its pathetic that u love me""",2
Eurielle It's not even the context of the movie that does it for me. I crave the relationship the song describes.,0
That flat ass should not be wearing that ... I have more ass then her.,2
U make me horny,3
U think it's so bad to tell him he looks like a goat??? Joseph does too,0
I have to know??!,0
Im gonna rip u apart,3
U stupid fat slut,3
!,0
Ya nasty.,1
Just shut up and lick my pussy,3
We already have planz,0
Stop being such a fagot and fuck her,3
where do you get off?,0
U have no friends,3
And we where let out early??,0
Do you want to have a sleep over?,0
Ok,0
"""Free belly rubs from humans sounds like a great idea until you plop down beside an open window to soak in the sun and a pack of bumbling humans come over and put their hands all over you.""",0
"""We should have some good hunting up the Amazon. Great sport hunting.""""""",0
What's doing??,0
Hello,0
"""I just had sex and it felt so good it did indeed she let me put my penis inside her.""",3
Fuck you,2
"""you're dead faggot. you're so fucking dead.""",3
Yea,0
Call me!!!!,0
As long as there is weed Im in,3
9-Oct-16,0
Nice,0
I'm at school ??????????,0
27-Dec-16,0
I'm at school,0
No,0
"""Hey cutie how are you today? I dont you come to my house so we can play an adult game. I promise I wont hit or burn u this time?""",3
But I'm not sure he appreciates being told he looks like a goat,0
"""But what kind of men he wondered in so forbidding a place?""",0
"""I got 3 asked for a dollar I got $10 I asked for a ho and I got this number""",2
I want those titties to lactate for me as I stroke her arm in a really pervy way.,3
""" you goddamn idiot.""",2
"""""""For the hunter"""" amended Whitney.""",0
Fuck you,2
"""Got a blunt in my dental blowin hemp in a rental. On my way to Sacramento late night Arsenio. I'm never sentimental go hard or go homeless.""",3
That was Marc texting,0
You are both judgemental fucks and you assholes deserve each other.,3
"""I ain't worried 'bout a feature ass nigga man I swear you getting peed on.""",2
So cute they gotta teach me that wing dance,0
And we got something that isn't bad for u,0
Your face looks like one big pile of shit that no one on this planet would ever fucking wanna look at.,2
I hate these motherfuckers so much.,2
"""This hot weather is making you soft Whitney.""",0
Ur mom slept with the whole town,3
Just go shave ur penis,3
My phone stopped and I forgot you canged??,0
I would rather go out with a cow than with u,3
You have a tiny penis,3
if you don't suck my dick i will out you as gay.,3
Hi,0
Of course im not gonna invite her! Its a pool party and she is such a lesbian?,3
Why dont we go to a Motel tonight?,0
No one knows but if you don't stop we will,0
????,0
But 1 thing u will never loose is ur good looks.,0
"""You know that some time ull have to tell ur mom that u r expecting right?""",0
"""I smoke twenty smell the weed I got hunnies in my V""",3
I?? not the only one who knows your secret.,3
Wanna make sex now?,3
Fine,0
Someday u may lose ur hair.u may lose ur teeth- ur money & even lose ur mind.,2
I want to live too,0
When later?,0
Im gonna give u a truffle butter,3
I don't fuck with local hoes I told you that,2
Could you pls order a ????? sandwich instead,0
Love you!!,0
K??,0
"""U have such a cute ass babe""",3
"""No one likes u and no one never will because u r useless and ugly and annoying and you should just die. This way the world would be a better place.""",3
Ill shoot u with my gun,3
You're annoying.,1
How was yours?,0
"""The cuddly creatures have infiltrated every corner of our digital world making them practically inescapable.""",0
You are nothing to me but just another target.,0
?,0
"""I would love to get to know u more specially in bed""",3
Fuck you,2
Tova love's you,0
do you want crack?,3
U know that he is gonna ttry to fuck u tonight?,3
Come on,0
You're not gonna tell anybody right,0
"""I be balling on these niggas got me feeling like sports dash got so much wood I could build me a fort.""",0
No,0
?,0
"""Where there are men there is food"""" he thought.""",0
That's my nephew!,0
"""I hate u u fucking piece of shit""",3
"""They like Monty can you be my baby daddy I'm like yeah.""",0
Why can't you post the whole video. It's a pain in the ass trying to find it elsewhere.,3
Tzer,0
The first thing Eli said was. Wow ur tall!,0
Mani,0
Let me know when you get to shalom,0
"""No more pain bitch you took me for granted took my heart and ran it straight into the planet.""",2
Please answer,0
Eli can shlep,0
"""Yo sup black salt""",0
U r as stupid as a duck,3
"""A small glittering object not far away caught Rainsford's eye and he picked it up. It was an empty cartridge.""",2
Gruahko also,0
Ur handjob sucks,3
Answer!!!!!!!!!!!!!,0
"""Don't you niggas play dumb you know where we came from.""",3
Im gonna lick ur moms pussy until she forgets about ur dad,3
Why don't you just go cut yourself some more and run around trying to get attention,3
Good how are you,0
Die,0
Do u wanna buy me a shot?,1
Yet there's still a lot we don't know about our feline friends??ncluding what they think of their owners.,0
Remember guys tomorrow is,0
I don't know how,0
obviously you don't have a soul if you can't enjoy the beauty of this man's fantastic version of an old song.,0
"""Miley made a total ass of herself  there is nothing sexy about this sad little girl. Miley cyrus is god fuck haters they&rsquo;re just jealous of her lol .""",2
If you are send pic,0
Take ur ugly face and put it on ur ass,3
I ought to kill you!,3
I'm at school ??????????,0
"""Personally I'm not too keen on this version as I don't really relate to the more joyous uptempo side of the song. Much rather the covers by Glen Hansard Ronnie Drew Shane McGowan and of course Liam Clancy.""",0
Holy fucking annoying.,3
"""If you smoking with me then we on dabs good dabs.""",3
I'm not going to foll a sleep because I drink ice coffee,0
And why is she trying to have sex with robin thicke on stage!?,3
??ug a retard?,1
Cuz if not or if u want to go than maybe we can,0
You were a mistake.,0
Now I hear the same music on my laptop and phone and it touches my soul just as much.,0
"""I rsquo;m going to fucking bury that guy I have done it before and I will do it again.""",3
Shit,1
!,0
!,0
"""Ain't too many things I ain't done yet I'm the king of this shit crowned by the toilet.""",0
If not then let's do it tomorrow at like 1,0
cuz u cant lose what u don&rsquo;t have!,0
Just thought u should know,0
K,0
"""I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth mark my fucking words.""",2
"""Do you understand fuck?""",2
You're fat.,2
The world and everyone in it hates you,3
"""wow damn! What a fucking disgrace. She is one ugly alienesque weirdo. She walks like her legs are elastic bands I&rsquo;ve seen red light hookers with a lot more grace.""",3
You're a loser,3
I wish u werent born,3
i cant live without u. im dying 2 feel u at nite. sweat is drippin down my body.,2
"""The white race is a disgrace sadly. The quality of this video is SHITTY as hell.""",2
I like it when u let me slap ur cute ass,3
Just suck it up baby,3
I am gonna kill ur entire family,3
Can I see ur boobs?,3
Two sms fuck,2
"""I??e had a headache for too long and I?? hanging up on you get out of my life already.""",3
Im in love with u and if u dont love me back than ill just kill myself,3
You have a look in your eye like you haven&rsquo;t been fucked in a year.,2
"""Man I can wait till she gets out of prison we gon bang all day and all night longer.""",2
She is a dumb ass fuck and she is on drugs!!,3
"""Hey now hey now this is what freaks are made of.""",3
It?? a bullet from a fuckin?,3
"""tonite i wanna go down on u & make u extremely happy. then come back up slowly & fuck u real good. yours truly gas prices""",2
Nerd alert!,3
I hate u,3
"""Cmon babe I promise ur first time wont hurt""",3
U have a small penis,3
You're weird.,3
"""Anyone who likes Selena you can go fuck yourself cuz you have no taste. Go lick an asshole or something.""",3
Why dont u come play in my bed?,3
U deserve to be bullied,2
Ill make u swallow when i cum in ur mouth,3
Can we go buy some alcohol before school?,3
Im gonna eat ur hairy pussy,3
You think you can get away with saying that shit to me over the Internet?,3
"""I?? just livin life and let my mamma tell it nigga I ain?? livin right.""",2
Im gonna rape u,3
"""Why don't you just get hit by a truck nobody would care""",3
"""U r such a hooker u think that wearing tiny shorts wil make any guy like u? Not even if u were naked they would look at u""",3
Just hang urself already,3
"""If he gets in they can feel validated for their pawing over women's bodies molesting or even raping them being porn addicts treating women like dogs and trashing them and generally degrading women like Trump does.""",3
"""Got a tiger as a pet I just took him to the vet.""",3
"""Go fuck yourself not kidding literally go masturbate.""",3
Im gonna stick a nail in your ass,3
There are only bitches in this group,3
Just suck my dick,3
"""tonite i wanna go down on u & make u extremely happy. then come back up slowly & fuck u real good. yours truly gas prices""",3
"""These girls they down to fuck they drank got them feelin' theyself. This night life shit ain&rsquo;t new to me all the bad bitches get loose with me.""",2
"""If I ever see you again Im gonna shoot u in the face""",3
I would love u to suck my lollipop,3
"""I hate when they dont have alcohol in the parties hope this one has.""",2
In 2009 the government will start killing all mentally challenged people.,2
I am expecting a baby?,2
All the homossexual people should die,3
I rsquo;m going to fucking kill Google.,1
I had a wet dream about you last night ?,2
Come down here and I am gonna eat ur fat pussy,3
Where is my baby girl? Daddy is feeling alone in this big bed,3
"""Hey babe when can we have sex? Im tired of u telling me to wait. If u dont like me enough ill just find someone else""",3
"""Ugh u r disgusting""",2
Don?? try to change now you HOMO!,3
Im gonna beat u after school,3
Find me up in the MGM casino in the D. Fuckin' off fetti I could've put on property.,3
They told me they recently got diagnosed with HIV.,3
Come lick the peanut butter off my balls baby.,3
On the phone with a bitch who can't do shit for a pimp but make a nigga hella rich.,3
how do you even live with yourself?,2
i want u. i need u. come on stupid air conditioner work!,2
"""Shut up u have such a tiny penis u cant say anything!!!""",3
You should just kill yourself and make everyone else a favor.,3
"""Hey dude did u see the last playboy magazine?""",3
Feed em the same shit that you made me eat.,2
Take ur miserable idiotic self out of this world and do everyone a favor. ,3
Ur mom is as ugly as a pig,3
U are stupid and retarded,3
"""I'm just barely getting started you already upset.""",2
I started crying when I thought of you.,1
I heard he bits her everytime she doesnt do something he wants,3
"""U bitch just die""",3
Just let me teach u how to be a real woman?,2
"""You??e fucking dead kiddo.""",3
I think we have some kind of fetish for you. you have to understand how disgusting and evil you are. I have seen you really closely. it's horrifying.,3
Im gonna eat ur heart,3
